Time,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Dt_year,Dt_month,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Country_AUS,Country_CA,Country_GER,Country_IND,Country_ME,Country_SA,Country_SP,Country_US
457,1972.0,80134.0,1.0,0.0,40.0,1218.0,16.0,272.0,104.0,0.0,80.0,2.0,5.0,3.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,2013.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,1993.0,79244.0,0.0,0.0,58.0,471.0,102.0,125.0,212.0,61.0,245.0,1.0,4.0,10.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2012.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,1979.0,2447.0,1.0,0.0,42.0,1.0,1.0,1725.0,1.0,1.0,1.0,15.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
640,1995.0,83257.0,0.0,0.0,56.0,536.0,27.0,590.0,38.0,107.0,67.0,1.0,5.0,10.0,12.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,2012.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
311,1983.0,70123.0,0.0,0.0,27.0,1308.0,0.0,396.0,23.0,0.0,0.0,1.0,5.0,7.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2013.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
360,1986.0,83512.0,0.0,0.0,31.0,1060.0,61.0,835.0,80.0,20.0,101.0,1.0,4.0,7.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2014.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
677,1976.0,81929.0,1.0,0.0,60.0,1486.0,55.0,278.0,49.0,0.0,185.0,2.0,4.0,4.0,10.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,2012.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
712,1976.0,72309.0,0.0,0.0,64.0,960.0,0.0,883.0,50.0,38.0,0.0,1.0,5.0,6.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2013.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
220,1979.0,88194.0,0.0,1.0,19.0,688.0,14.0,309.0,201.0,24.0,38.0,1.0,11.0,10.0,10.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,2014.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
779,1971.0,74290.0,0.0,1.0,70.0,1121.0,0.0,72.0,0.0,12.0,12.0,4.0,10.0,8.0,10.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,2013.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
