Year_Birth;Income;Kidhome;Teenhome;Recency;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;NumDealsPurchases;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;AcceptedCmp1;AcceptedCmp2;Response;Complain;Dt_year;Dt_month;Education_2n Cycle;Education_Basic;Education_Graduation;Education_Master;Education_PhD;Marital_Status_Absurd;Marital_Status_Alone;Marital_Status_Divorced;Marital_Status_Married;Marital_Status_Single;Marital_Status_Together;Marital_Status_Widow;Marital_Status_YOLO;Country_AUS;Country_CA;Country_GER;Country_IND;Country_ME;Country_SA;Country_SP;Country_US
1989.0;21474.0;1.0;0.0;0.0;6.0;16.0;24.0;11.0;0.0;34.0;2.0;3.0;1.0;2.0;7.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2014.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1979.0;62499.0;1.0;0.0;0.0;140.0;4.0;61.0;0.0;13.0;4.0;2.0;3.0;1.0;6.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;12.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1981.0;26872.0;0.0;0.0;0.0;3.0;10.0;8.0;3.0;16.0;32.0;1.0;1.0;1.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1977.0;54809.0;1.0;1.0;0.0;63.0;6.0;57.0;13.0;13.0;22.0;4.0;2.0;1.0;5.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1977.0;54809.0;1.0;1.0;0.0;63.0;6.0;57.0;13.0;13.0;22.0;4.0;2.0;1.0;5.0;4.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2013.0;9.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1979.0;40662.0;1.0;0.0;0.0;40.0;2.0;23.0;0.0;4.0;23.0;2.0;2.0;1.0;3.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1976.0;49544.0;1.0;0.0;0.0;308.0;0.0;73.0;0.0;0.0;23.0;2.0;5.0;1.0;8.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1975.0;73170.0;0.0;0.0;1.0;184.0;174.0;256.0;50.0;30.0;32.0;1.0;5.0;4.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1971.0;65808.0;1.0;1.0;1.0;155.0;7.0;80.0;13.0;7.0;10.0;3.0;5.0;1.0;5.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1986.0;79529.0;0.0;0.0;1.0;423.0;42.0;706.0;73.0;197.0;197.0;1.0;4.0;8.0;9.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1972.0;34578.0;2.0;1.0;1.0;7.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1974.0;46374.0;0.0;1.0;1.0;408.0;0.0;21.0;0.0;0.0;17.0;3.0;7.0;1.0;7.0;8.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2014.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
1990.0;18351.0;0.0;0.0;1.0;1.0;12.0;9.0;0.0;14.0;7.0;1.0;2.0;0.0;3.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;10.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1987.0;95169.0;0.0;0.0;1.0;1285.0;21.0;449.0;106.0;20.0;20.0;1.0;4.0;3.0;4.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;2013.0;10.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1984.0;65370.0;0.0;0.0;1.0;71.0;22.0;112.0;138.0;89.0;29.0;1.0;2.0;3.0;13.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1972.0;21359.0;1.0;0.0;1.0;12.0;2.0;17.0;6.0;1.0;10.0;2.0;2.0;0.0;3.0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2013.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1983.0;81698.0;0.0;0.0;1.0;709.0;45.0;115.0;30.0;160.0;45.0;1.0;8.0;2.0;5.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2013.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1986.0;39146.0;1.0;0.0;1.0;94.0;1.0;33.0;13.0;12.0;12.0;3.0;4.0;0.0;4.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1973.0;32300.0;1.0;0.0;1.0;13.0;3.0;6.0;6.0;5.0;6.0;1.0;1.0;0.0;3.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1984.0;14796.0;1.0;0.0;1.0;13.0;3.0;8.0;7.0;4.0;16.0;2.0;1.0;0.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2012.0;9.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
1978.0;52195.0;2.0;1.0;2.0;12.0;0.0;4.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1974.0;18393.0;1.0;0.0;2.0;7.0;10.0;13.0;16.0;0.0;4.0;2.0;3.0;0.0;3.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1973.0;38576.0;0.0;1.0;2.0;34.0;0.0;7.0;0.0;0.0;0.0;1.0;1.0;0.0;3.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
1975.0;61905.0;0.0;1.0;2.0;167.0;0.0;43.0;6.0;2.0;13.0;2.0;4.0;2.0;4.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2014.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1982.0;6560.0;0.0;0.0;2.0;67.0;11.0;26.0;4.0;3.0;262.0;0.0;1.0;0.0;1.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;12.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1977.0;22701.0;1.0;0.0;2.0;2.0;4.0;9.0;0.0;4.0;5.0;1.0;1.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2013.0;9.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
1974.0;53367.0;1.0;1.0;2.0;229.0;7.0;140.0;10.0;3.0;11.0;7.0;5.0;1.0;8.0;7.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2013.0;8.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1986.0;34728.0;1.0;0.0;2.0;14.0;0.0;16.0;0.0;0.0;6.0;1.0;1.0;1.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2013.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
